Number of Clusters,Silhouette Score,Log-likelihood,CH indices,Bic (find low),Davies Bouldin (find low)
2,0.5143440351151841,-32241.505562601236,784.3049483898652,65078.039827422544,1.4324122679088822
3,0.16292838321233802,-735.4779354229504,596.0166307190358,2367.6892671493893,1.80401559819709
4,0.17721732234166612,-49.48290696161621,678.5277204429532,1297.4039043101375,1.6666500420569657
5,0.1731058108279676,2342.3308887045814,678.1154158011691,-3184.518992938841,1.5693772227706437
6,0.05466149598245964,2625.8349654194553,548.4184860367308,-3449.8224522851724,1.4642015738085077
7,0.039124167013466785,8130.796108229987,524.3733305266535,-14158.040043822819,2.040966450605338
8,-0.012759145801547129,7507.525816204972,580.5533913454086,-12609.794765689374,1.8136118953466311
9,0.017168600505703627,9334.435840816575,563.1288934712528,-15961.910120829161,1.9006477232289845
10,0.013724991722764642,9587.34844531419,641.7821939991446,-16166.030635740975,1.901762325024175
